p_pv;p_vue;p_ue;p_ut;p_ut_tot;t_ext
0.0978;0.282935484;0;2.7535;110.14;11.49
0.0423675;0.271225806;0;2.821;112.84;11.42
0.04413;0.242548387;0;2.94025;117.61;10.72
0;0.249741935;0;0;0;10.25
0;0.291322581;0;0;0;9.35
0;0.302935484;0;3.2145;128.58;7.58
0;0.455709677;0;3.2525;130.1;6.38
0;0.409774194;0;3.2885;131.54;4.17
0;0.367193548;0;3.25925;130.37;1.95
0;0.295806452;0;3.23;129.2;0.69
0;0.217903226;0;0;0;0.41
0;0.209419355;0;0;0;0.32
0;0.197548387;0;0;0;0
0;0.153741935;0;0;0;-0.75
0;0.135580645;0;0;0;-0.74
0;0.153580645;0;0;0;-0.66
0;0.151322581;0;3.619;144.76;-0.71
0;0.138967742;0;3.4975;139.9;-0.59
0;0.143967742;0;3.37625;135.05;0.72
0.0786;0.206580645;0;3.2525;130.1;0.96
0.139485;0.242580645;0;3.102;124.08;3.37
0.227475;0.286193548;0;0;0;6.96
0.3395325;0.290419355;0;0;0;8.61
0.4183425;0.463354839;0;2.94025;117.61;9.41
0.5577075;0.369258065;0;3.0795;123.18;9.86
0.2704125;0.348967742;0;3.219;128.76;9.76
0.0945075;0.250935484;0;3.18075;127.23;8.92
0;0.236225806;0;0;0;8.36
0;0.313806452;0;0;0;7.74
0;0.318774194;0;3.05025;122.01;6.87
0;0.378129032;0;2.994;119.76;5.43
0;0.430870968;0;2.94025;117.61;4.37
0;0.351129032;0;2.90875;116.35;3.3
0;0.256419355;0;2.87725;115.09;2.06
0;0.190419355;0;0;0;0.39
0;0.16183871;0;0;0;-0.45
0;0.144548387;0;0;0;-0.88
0;0.138612903;0;0;0;-1.34
0;0.130419355;0;0;0;-1.6
0;0.142645161;0;0;0;-1.75
0;0.157129032;0;3.83475;153.39;-1.75
0;0.155645161;0;3.727;149.08;-1.79
0;0.223354839;0;3.619;144.76;-1.47
0.078825;0.263419355;0;3.50875;140.35;-0.61
0.091155;0.194129032;0;3.36275;134.51;2.59
0.0888;0.169;0;0;0;6.9
0.0902025;0.239193548;0;0;0;8.53
0.09417;0.244967742;0;3.09075;123.63;9.37
0.0956475;0.223096774;0;3.1155;124.62;9.83
0.0722475;0.225548387;0;3.138;125.52;9.7
0.0489825;0.246;0;3.31775;132.71;8.89
0;0.228741935;0;0;0;8.22
0;0.296612903;0;0;0;7.44
0;0.301709677;0;3.7875;151.5;5.04
0;0.387;0;3.89775;155.91;3.48
0;0.341580645;0;4.01;160.4;1.79
0;0.326;0;4.09325;163.73;0.49
0;0.256967742;0;4.17425;166.97;-0.25
0;0.204064516;0;0;0;-0.69
0;0.158709677;0;0;0;-0.92
0;0.150451613;0;0;0;-1.06
0;0.137225806;0;0;0;-1.38
0;0.137032258;0;0;0;-1.86
0;0.130903226;0;0;0;-1.84
0;0.152225806;0;5.26;210.4;-1.88
0;0.147967742;0;5.1745;206.98;-1.99
0;0.170967742;0;5.089;203.56;-1.66
0.0177675;0.269903226;0;5.0015;200.06;-0.73
0.047835;0.307677419;0;4.47325;178.93;2.39
0.12795;0.255290323;0;0;0;6.25
0.1373625;0.261419355;0;0;0;7.62
0.1251975;0.209064516;0;3.3425;133.7;8.23
0.517275;0.270677419;0;3.2705;130.82;8.6
0.2388675;0.230774194;0;3.1965;127.86;8.49
0.035865;0.219419355;0;3.3965;135.86;7.85
0;0.192677419;0;0;0;6.06
0;0.254645161;0;0;0;5.85
0;0.38916129;0;3.87075;154.83;4.33
0;0.376322581;0;3.945;157.8;2.82
0;0.399322581;0;4.01675;160.67;1.26
0;0.342387097;0;4.0775;163.1;0.33
0;0.24783871;0;4.13825;165.53;-0.47
0;0.174580645;0;0;0;-1.08
0;0.156548387;0;0;0;-1.4
0;0.150903226;0;0;0;-1.29
0;0.140645161;0;0;0;-1.23
0;0.163225806;0;0;0;-0.97
0;0.128967742;0;0;0;-0.66
0;0.143870968;0;4.50925;180.37;-0.62
0;0.168064516;0;4.43275;177.31;-0.77
0;0.223645161;0;4.354;174.16;-1.02
0.254745;0.221870968;0;4.27525;171.01;-0.45
0.480105;0.248225806;0;4.118;164.72;2.72
0.58566;0.274806452;0;0;0;5.96
0.573975;0.177870968;0;0;0;7.57
0.49866;0.245580645;0;3.747;149.88;8.14
0.4517025;0.236806452;0;3.69325;147.73;8.4
0.464895;0.229258065;0;3.637;145.48;8.36
0.27525;0.197677419;0;3.736;149.44;7.62
0;0.212774194;0;0;0;6.61
0;0.222645161;0;0;0;6.24
0;0.265096774;0;3.9135;156.54;5.37
0;0.302064516;0;3.8955;155.82;3.54
0;0.31916129;0;3.8775;155.1;1.18
0;0.366064516;0;3.87075;154.83;-0.17
0;0.271935484;0;3.864;154.56;-0.81
0;0.192645161;0;0;0;-1.14
0;0.164903226;0;0;0;-1.29
0;0.139322581;0;0;0;-1.78
0;0.137935484;0;0;0;-2.21
0;0.132419355;0;0;0;-2.61
0;0.148064516;0;0;0;-2.99
0;0.148903226;0;4.3315;173.26;-2.94
0;0.153387097;0;4.20575;168.23;-3.4
0;0.224903226;0;4.07975;163.19;-3.75
0.2230875;0.26616129;0;3.954;158.16;-3.16
0.3781425;0.239193548;0;3.783;151.32;0.25
0.64935;0.217774194;0;0;0;2.76
0.6882525;0.194903226;0;0;0;4.06
0.65895;0.263322581;0;3.47075;138.83;4.8
0.600405;0.221096774;0;3.49975;139.99;5.03
0.484635;0.177967742;0;3.52675;141.07;4.99
0.3122025;0.197387097;0;3.619;144.76;4.58
0;0.204903226;0;0;0;3.15
0;0.239483871;0;0;0;3.29
0;0.326064516;0;3.86625;154.65;2.73
0;0.423645161;0;3.92925;157.17;-0.71
0;0.302741935;0;3.99225;159.69;-1.74
0;0.284290323;0;4.046;161.84;-2.36
0;0.263354839;0;4.10225;164.09;-2.78
0;0.253032258;0;0;0;-3.02
0;0.193806452;0;0;0;-3.49
0;0.136451613;0;0;0;-3.03
0;0.15683871;0;0;0;-2.72
0;0.132354839;0;0;0;-2.38
0;0.129967742;0;0;0;-2.94
0;0.128677419;0;4.22375;168.95;-3.48
0;0.167;0;4.127;165.08;-3.63
0;0.246903226;0;4.03025;161.21;-3.47
0.1548375;0.318870968;0;3.93375;157.35;-2.66
0.29052;0.204677419;0;3.82575;153.03;0.33
0.195975;0.182258065;0;0;0;3.32
0.116415;0.198806452;0;0;0;4.48
0.0995925;0.277419355;0;3.747;149.88;4.82
0.20634;0.209580645;0;3.88875;155.55;4.99
0.1835025;0.22316129;0;4.028;161.12;4.87
0.1482;0.304096774;0;4.154;166.16;4.6
0;0.26783871;0;0;0;3.78
0;0.291612903;0;0;0;3.31
0;0.371741935;0;4.41475;176.59;2.65
0;0.429548387;0;4.42825;177.13;1.54
0;0.489483871;0;4.4395;177.58;0.19
0;0.408935484;0;4.417;176.68;-0.9
0;0.259935484;0;4.3945;175.78;-1.03
0;0.210387097;0;0;0;-1.08
0;0.193870968;0;0;0;-1.41
0;0.149290323;0;0;0;-1.65
0;0.124419355;0;0;0;-1.42
0;0.127419355;0;0;0;-1.67
0;0.163354839;0;0;0;-1.86
0;0.137677419;0;4.46875;178.75;-1.89
0;0.144967742;0;4.345;173.8;-1.92
0;0.23716129;0;4.2215;168.86;-2.21
0.0177675;0.191483871;0;4.09775;163.91;-0.59
0.017085;0.195032258;0;3.8325;153.3;0.05
0.029385;0.209419355;0;0;0;2.44
0.06765;0.234935484;0;0;0;3.23
0.06765;0.260096774;0;3.239;129.56;3.76
0.072435;0.273774194;0;3.174;126.96;4.03
0.0369;0.243806452;0;3.10875;124.35;3.97
0.0211875;0.263967742;0;3.3965;135.86;3.63
0;0.267451613;0;0;0;2.61
0;0.276645161;0;0;0;2.06
0;0.325548387;0;4.33825;173.53;1.72
0;0.394258065;0;4.707;188.28;0.39
0;0.410451613;0;5.07325;202.93;-0.9
0;0.286129032;0;5.29125;211.65;-1.09
0;0.243806452;0;5.51175;220.47;-1.23
0;0.193354839;0;0;0;-1.54
0;0.215903226;0;0;0;-1.93
0;0.208419355;0;0;0;-2.48
0;0.131677419;0;0;0;-2.26
0;0.116483871;0;0;0;-2.24
0;0.123129032;0;0;0;-2.25
0;0.119451613;0;5.02625;201.05;-2.25
0;0.145870968;0;4.79225;191.69;-2.36
0;0.172419355;0;4.5585;182.34;-2.43
0.00888;0.183516129;0;4.32475;172.99;-1.37
0.0327975;0.258354839;0;3.90225;156.09;0.08
0.08733;0.301935484;0;0;0;2.11
0.04647;0.410903226;0;0;0;2.94
0.038265;0.430096774;0;3.05925;122.37;3.55
0.0485175;0.354258065;0;3.066;122.64;3.82
0.038265;0.383419355;0;3.07275;122.91;3.72
0.2846325;0.273225806;0;3.493;139.72;3.18
0;0.279645161;0;0;0;2.03
0;0.35483871;0;0;0;1.25
0;0.371774194;0;4.41925;176.77;0.67
0;0.382774194;0;4.507;180.28;-1.45
0;0.415387097;0;4.59225;183.69;-2.23
0;0.268903226;0;4.69125;187.65;-2.48
0;0.229741935;0;4.78775;191.51;-2.7
0;0.204290323;0;0;0;-2.93
0;0.170064516;0;0;0;-3.12
0;0.138193548;0;0;0;-3
0;0.147290323;0;0;0;-3.14
0;0.164193548;0;0;0;-3.28
0;0.132612903;0;0;0;-3.48
0;0.136354839;0;5.07325;202.93;-3.71
0;0.163129032;0;4.88;195.2;-4.16
0;0.176193548;0;4.68675;187.47;-4.73
0.0902625;0.290580645;0;4.4935;179.74;-3.65
